,sentence,background_motivation,aim_contribution,research_object,research_method,results_findings,summary
0,Developers have access to tools like Google Lighthouse to assess the performance of web apps and to guide the adoption of development best practices.,1,0,0,0,0,0
1,"However, when it comes to energy consumption of mobile web apps, these tools seem to be lacking.",1,0,0,0,0,0
2,This study investigates on the correlation between the performance scores produced by Lighthouse and the energy consumption of mobile web apps.,0,1,0,0,0,0
3,We design and conduct an empirical experiment where 21 real mobile web apps are (i) analyzed via the Lighthouse performance analysis tool and (ii) measured on an Android device running a software-based energy profiler.,0,0,0,1,0,0
4,"Then, we statistically assess how energy consumption correlates with the obtained performance scores and carry out an effect size estimation.",0,0,0,1,0,0
5,"We discover a statistically significant negative correlation between performance scores and the energy consumption of mobile web apps (with medium to large effect sizes), implying that an increase of the performance score tend to lead to a decrease of energy consumption.",0,0,0,0,1,0
6,"We recommend developers to strive to improve the performance level of their mobile web apps, as this can also have a positive impact on their energy consumption on Android devices.",0,0,0,0,0,1
7,Factors such as app stores or platform choices heavily affect functional and non-functional mobile app requirements.,1,0,0,0,0,0
8,We surveyed 45 companies and interviewed ten experts to explore how factors that impact mobile app requirements are understood by requirements engineers in the mobile app industry.,0,0,0,1,0,0
9,We observed the lack of knowledge in several areas.,0,0,0,0,1,0
10,"For instance, we observed that all practitioners were aware of data privacy concerns, however, they did not know that certain third-party libraries, usage aggregators, or advertising libraries also occasionally leak sensitive user data.",0,0,0,0,1,0
11,"Similarly, certain functional requirements may not be implementable in the absence of a third-party library that is either banned from an app store for policy violations or lacks features, for instance, missing desired features in ARKit library for iOS made practitioners turn to Android.",0,0,0,0,1,0
12,"We conclude that requirements engineers should have adequate technical experience with mobile app development as well as sufficient knowledge in areas such as privacy, security and law, in order to make informed decisions during requirements elicitation.",0,0,0,0,0,1
13,The software engineering industry is increasingly aware of the role and value of neurodiverse engineers within the workforce.,1,0,0,0,0,0
14,One motivation is the alignment between skills needed for software development and the processing strengths of individuals with autistic spectrum conditions.,1,0,0,0,0,0
15,"One aspect of neurodiversity is dyslexia, typically presenting in individuals through a range of reading deficiencies.",1,0,0,0,0,0
16,In this paper we build on recent work which has sought to investigate if programmers with dyslexia read program code in a way which is different from programmers without dyslexia.,0,1,0,0,0,0
17,The particular focus of this analysis is the nature of saccadic movement and patterns of linearity when reading code.,0,0,1,0,0,0
18,A study is presented in which the eye gaze of 28 programmers (14 with dyslexia and 14 without) was recorded using an eye tracking device while reading and understanding three on-screen Java programs.,0,0,0,1,0,0
19,"Using insights from the wider dyslexia literature, hypotheses are formulated to reflect the expected saccadic gaze behaviour of programmers with dyslexia.",0,0,0,1,0,0
20,A range of existing metrics for linearity of program reading are adapted and used for statistical analysis of the data.,0,0,0,1,0,0
21,Results are consistent with recent work elsewhere and indicate that programmers with dyslexia do not exhibit patterns of linearity significantly different from the control group.,0,0,0,0,1,0
22,Non-linear gaze is shown to be approximately 40% of all saccadic movement.,0,0,0,0,1,0
23,"Some preliminary insights are offered based on the data available, suggesting that the extent of non-linear reading when comprehending program code might complement the processing and problem solving style of the programmer with dyslexia.",0,0,0,0,0,1
24,"In Software Product Lines (SPL), feature extraction from software requirements specifications has been subject to intense research in order to assist domain analysis in a time-saving way.",1,0,0,0,0,0
25,"Although various approaches are proposed to extract features, there still exists a gap to achieve the complete view of features, that is, how to figure out the intention of a feature.",1,0,0,0,0,0
26,Feature terms as the smallest units in a feature can be regarded as vital indicators for describing a feature.,1,0,0,0,0,0
27,"Automated feature term extraction can provide key information regarding the intention of a feature, which improves the efficiency of domain analysis.",1,0,0,0,0,0
28,"In this paper, we propose an approach to train prediction models by using machine learning techniques to identify feature terms.",0,1,0,0,0,0
29,"To this end, we extract candidate terms from requirement specifications in one domain and take six attributes of each term into account to create a labeled dataset.",0,0,0,1,0,0
30,"Subsequently, we apply seven commonly used machine algorithms to train prediction models on the labeled dataset.",0,0,0,1,0,0
31,We then use these prediction models to predict feature terms from the requirements belonging to the other two different domains.,0,0,0,1,0,0
32,"Our results show that (1) feature terms can be predicted with high accuracy of ≈ 90% within a domain (2) prediction across domains leads to a decreased but still good accuracy (≈ 80%), and (3) machine learning algorithms perform differently.",0,0,0,0,1,0
33,GitHub has become a precious service for storing and managing software source code.,1,0,0,0,0,0
34,"Over the last year, 10M new developers have joined the GitHub community, contributing to more than 44M repositories.",1,0,0,0,0,0
35,"In order to help developers increase the reachability of their repositories, in 2017 GitHub introduced the possibility to classify them by means of topics.",1,0,0,0,0,0
36,"However, assigning wrong topics to a given repository can compromise the possibility of helping other developers approach it, and thus preventing them from contributing to its development.",1,0,0,0,0,0
37,In this paper we investigate the application of Multinomial Naïve Bayesian (MNB) networks to automatically classify GitHub repositories.,0,1,0,0,0,0
38,"By analyzing the README file(s) of the repository to be classified and the source code implementing it, the conceived approach is able to recommend GitHub topics.",0,0,0,1,0,0
39,"To the best of our knowledge, this is the first supervised approach addressing the considered problem.",0,0,0,0,0,1
40,"Consequently, since there exists no suitable baseline for the comparison, we validated the approach by considering different metrics, aiming to study various quality aspects.",0,0,0,0,1,0
41,Background: Publication bias is the failure to publish the results of a study based on the direction or strength of the study findings.,1,0,0,0,0,0
42,The existence of publication bias is firmly established in areas like medical research.,1,0,0,0,0,0
43,Recent research suggests the existence of publication bias in Software Engineering.,1,0,0,0,0,0
44,Aims: Finding out whether experiments published in the International Workshop on Empirical Software Engineering and Measurement (ESEM) are affected by publication bias.,0,1,0,0,0,0
45,Method: We review experiments published in ESEM.,0,0,0,1,0,0
46,We also survey with experimental researchers to triangulate our findings.,0,0,0,1,0,0
47,Results: ESEM experiments do not define hypotheses and frequently perform multiple testing.,0,0,0,0,1,0
48,One-tailed tests have a slightly higher rate of achieving statistically significant results.,0,0,0,0,1,0
49,We could not find other practices associated with publication bias.,0,0,0,0,1,0
50,"Conclusions: Our results provide a more encouraging perspective of SE research than previous research: (1) ESEM publications do not seem to be strongly affected by biases and (2) we identify some practices that could be associated with p-hacking, but it is more likely that they are related to the conduction of exploratory research.",0,0,0,0,0,1
51,Context: There is considerable diversity in the range and design of computational experiments to assess classifiers for software defect prediction.,1,0,0,0,0,0
52,"This is particularly so, regarding the choice of classifier performance metrics.",1,0,0,0,0,0
53,"Unfortunately some widely used metrics are known to be biased, in particular F1.",1,0,0,0,0,0
54,Objective: We want to understand the extent to which the widespread use of the F1 renders empirical results in software defect prediction unreliable.,0,1,0,0,0,0
55,Method: We searched for defect prediction studies that report both F1 and the Matthews correlation coefficient (MCC).,0,0,0,1,0,0
