,sentence,background_motivation,research_method,aim_contribution_research_object,results_findings_summary
0,"Context: Open tools (e.g., Jenkins, Gerrit and Git) offer a lucrative alternative to commercial tools.",1,0,0,0
1,Many companies and developers from OSS communities make a collaborative effort to improve the tools.,1,0,0,0
2,"Prior to this study, we developed an empirically based theory for companies' strategic choices on the development of these tools, based on empirical observations in the telecom domain.",1,0,0,0
3,"Aim: The aim of this study is to validate the theory of openness for tools in software engineering, in another domain, automotive.",0,0,1,0
4,"Specifically, we validated the theory propositions and mapped the case companies onto the model of openness.",0,0,1,0
5,"Method: We run focus groups in two automotive companies, collecting data in a survey and follow-up discussions.",0,1,0,0
6,"We used the repertory grid technique to analyze the survey responses, in combination with qualitative data from the focus group, to validate the propositions.",0,1,0,0
7,"Results: Openness of tools has the potential to reduce development costs and time, and may lead to process and product innovation.",0,0,0,1
8,"This study confirms three out of five theory propositions, on cost and time reduction, and the complementary role of open tools.",0,0,0,1
9,One propositions was not possible to validate due to lack of investment in OSS tools communities by both companies.,0,0,0,1
10,"However, our findings extend the fifth proposition to require management being involved for both the proactive and reactive strategy.",0,0,0,1
11,"Further, we observe that the move towards open tools happen with a paradigm shift towards openness in the automotive domain, and lead to standardization of tools.",0,0,0,1
12,"Both companies confirm that they need legal procedures for the contribution, as well as an internal champion, driving the open tools strategy.",0,0,0,1
13,"Conclusion: We validated the theory, originating from the telecom domain, partially using two automotive companies.",0,0,0,1
14,"Both case companies are classified as laggards (reactive, cost saving) in the model of openness presented in the theory.",0,0,0,1
15,"Furthermore, we would like to have more validations studies to validate the remaining quadrants (e.g., leverage, lucrativeness and leaders).",0,0,0,1
16,"Microsoft VBA (Visual Basic for Applications) is a programming language widely used by end-user programmers, often alongside the popular spreadsheet software Excel.",1,0,0,0
17,Together they form the popular Excel-VBA application ecosystem.,1,0,0,0
18,"Despite being popular, spreadsheets are known to be fault-prone, and to minimize risk of faults in the overall Excel-VBA ecosystem, it is important to support end-user programmers in improving the code quality of their VBA programs also, in addition to improving spreadsheet technology and practices.",1,0,0,0
19,"In traditional software development, automatic code inspection using static analysis tools has been found effective in improving code quality, but the practical relevance of this technique in an end-user development context remains unexplored.",1,0,0,0
20,"With the aim of popularizing it in the end-user community, in this paper we examine the relevance of automatic code inspection in terms of how inspection rules are perceived by VBA programmers.",0,0,1,0
