,sentence,background_motivation,aim_contribution,research_object,research_method,results_findings,summary
0,"There is a rapidly increasing amount of Artificial Intelligence (AI) systems developed in recent years, with much expectation on its capacity of innovation and business value generation.",1,0,0,0,0,0
1,"However, the promised value of AI systems in specific business contexts might not be understood, and further integrated into the development processes.",1,0,0,0,0,0
2,"We wanted to understand how software engineering processes and practices can be applied to develop AI systems in a fast-faced, business-driven manner.",0,1,1,0,0,0
3,"As the first step, we explored contextual factors of AI development and the connections between AI developments to business opportunities.",0,0,1,0,0,0
4,"We conducted 12 semi-structured interviews in seven companies in Brazil, Norway and Southeast Asia.",0,0,0,1,0,0
5,Our investigation revealed different types of AI systems and different AI development approaches.,0,0,1,0,0,0
6,"However, it is common that business opportunities involving with AI systems are not validated and there is lack of business-driven metrics that guide the development of AI systems.",1,0,0,0,0,0
7,The findings have implications for future research on business-driven AI development and supporting tools and practices.,0,0,0,0,1,0
8,Expanding abbreviations in source code to their full meanings is very useful for software maintainers to comprehend the source code.,1,0,0,0,0,0
9,"The existing approaches, however, focus on expanding an abbreviation to a single word, i.e., unigram.",1,0,0,0,0,0
10,They do not perform well when dealing with abbreviations of phrases that consist of multiple unigrams.,1,0,0,0,0,0
11,This paper proposes a bigram-based approach for retrieving abbreviated phrases automatically.,0,1,0,0,0,0
12,Key to this approach is a bigram-based inference model for choosing the best phrase from all candidates.,0,0,1,0,0,0
13,It utilizes the statistical properties of unigrams and bigrams as prior knowledge and a bigram language model for estimating the likelihood of each candidate phrase of a given abbreviation.,0,0,1,0,0,0
14,"We have applied the bigram-based approach to 100 phrase abbreviations, randomly selected from eight open source projects.",0,0,0,1,0,0
15,The experiment results show that it has correctly retrieved 78% of the abbreviations by using the unigram and bigram properties of a source code repository.,0,0,0,0,1,0
16,This is 9% more accurate than the unigram-based approach and much better than other existing approaches.,0,0,0,0,1,0
17,The bigram-based approach is also less biased towards specific phrase sizes than the unigram-based approach.,0,0,0,0,1,0
18,Background: Machine Learning (ML) has been widely used as a powerful tool to support Software Engineering (SE).,1,0,0,0,0,0
19,The fundamental assumptions of data characteristics required for specific ML methods have to be carefully considered prior to their applications in SE.,1,0,0,0,0,0
20,"Within the context of Continuous Integration (CI) and Continuous Deployment (CD) practices, there are two vital characteristics of data prone to be violated in SE research.",0,0,1,0,0,0
21,"First, the logs generated during CI/CD for training are imbalanced data, which is contrary to the principles of common balanced classifiers; second, these logs are also time-series data, which violates the assumption of cross-validation.",0,0,1,0,0,0
22,Objective: We aim to systematically study the two data characteristics and further provide a comprehensive evaluation for predictive CI/CD with the data from real projects.,0,1,0,1,0,0
23,Method: We conduct an experimental study that evaluates 67 CI/CD predictive models using both cross-validation and time-series-validation.,0,0,0,1,0,0
24,"Results: Our evaluation shows that cross-validation makes the evaluation of the models optimistic in most cases, there are a few counter-examples as well.",0,0,0,0,1,0
25,"The performance of the top 10 imbalanced models are better than the balanced models in the predictions of failed builds, even for balanced data.",0,0,0,0,1,0
26,The degree of data imbalance has a negative impact on prediction performance.,0,0,0,0,1,0
27,"Conclusion: In research and practice, the assumptions of the various ML methods should be seriously considered for the validity of research.",0,0,0,0,0,1
28,"Even if it is used to compare the relative performance of models, cross-validation may not be applicable to the problems with time-series features.",0,0,0,0,0,1
29,The research community need to revisit the evaluation results reported in some existing research.,0,0,0,0,0,1
30,"Driven by the need for faster time-to-market and reduced development lead-time, large-scale systems engineering companies are adopting agile methods in their organizations.",1,0,0,0,0,0
31,This agile transformation is challenging and it is common that adoption starts bottom-up with agile software teams within the context of traditional company structures.,1,0,0,0,0,0
32,This creates the challenge of agile teams working within a document-centric and plan-driven (or waterfall) environment.,1,0,0,0,0,0
33,"While it may be desirable to take the best of both worlds, it is not clear how that can be achieved especially with respect to managing requirements in large-scale systems.",0,1,0,0,0,0
34,This paper presents an exploratory case study focusing on two departments of a large-scale systems engineering company (automotive) that is in the process of company-wide agile adoption.,0,0,0,1,0,0
35,We present challenges that agile teams face while working within a larger plan-driven context and propose potential strategies to mitigate the challenges.,0,0,0,0,1,0
36,"Challenges relate to, e.g., development teams not being aware of the high-level requirements, difficulties to manage change of these requirements as well as their relationship to backlog items such as user stories.",0,0,0,0,1,0
37,"While we found strategies for solving most of the challenges, they remain abstract and empirical research on their effectiveness is currently lacking.",0,0,0,0,0,1
38,"Context: With the growing popularity of rapid software delivery and deployment, the methods, practices and technologies of Continuous Software Engineering (CSE) are evolving steadily.",1,0,0,0,0,0
39,"This creates the need for understanding the recent trends of the technologies, practitioners' challenges and views in this domain.",1,0,0,0,0,0
40,"Objective: In this paper, we present an empirical study aimed at exploring CSE from the practitioners' perspective by mining discussions from Q&A websites.",0,1,1,1,0,0
41,"Method: We have analyzed 12,989 questions and answers posted on Stack Overflow.",0,0,0,1,0,0
42,Topic modelling is conducted to derive the dominant topics in this domain.,0,0,0,1,0,0
43,"Further, a qualitative analysis was conducted to identify the key challenges discussed.",0,0,0,1,0,0
44,"Findings: Whilst the trend of posted questions is sharply increasing, the questions are becoming more specific to technologies and more difficult to attract answers.",0,0,0,0,1,0
45,"We identified 32 topics of discussions, among which ""Error messages in Continuous Integration/Deployment"" and ""Continuous Integration concepts"" are the most dominant.",0,0,0,0,1,0
46,We also present the most challenging areas in this domain from the practitioners' perspectives.,0,0,0,0,1,0
47,Decisions run through the whole software development and maintenance processes.,1,0,0,0,0,0
48,"Explicitly documenting these decisions helps to organize development knowledge and to reduce its vaporization, thereby controlling the development process and maintenance costs.",1,0,0,0,0,0
49,It can also support the knowledge acquisition process for stakeholders of the project.,1,0,0,0,0,0
50,"Meanwhile, developers (e.g., architects) and managers will be able to rely on the decisions made in the past to solve the problems encountered in their current projects.",1,0,0,0,0,0
51,"However, identifying decisions from massive textual artifacts, which involves considerable human effort, time, and cost, is usually unaffordable due to limited resources.",1,0,0,0,0,0
52,"To address this problem, we conducted an experiment to automatically identify decisions from textual artifacts using machine learning techniques.",0,1,1,1,0,0
53,"We created a dataset of 1,300 sentences labelled from the Hibernate developer mailing list, containing 650 decision sentences and non-decision sentences respectively, and trained machine learning models using 160 configurations regarding text preprocessing, feature extraction, and classification algorithms.",0,0,0,1,0,0
54,"The results show that (1) the text preprocessing method with Including Stop Words, No Stemming and Lemmatization, and No Filtering Out Sentences performs best when preprocessing posts to identify decisions; (2) the simple Bag-of-Words (BoW) model works best when extracting features to identify decisions; (3) the Support Vector Machine (SVM) algorithm gets the best result when training classifiers to identify decisions; and (4) the SVM algorithm with Including Stop Words (ISW), No Stemming and Lemmatization (NSaL), Filtering Out Sentences by Length (FOSbL), and BoW achieves the best performance (with a precision of 0.640, a recall of 0.932, and an F1-score of 0.759), compared with other configurations when identifying decisions from the mailing list.",0,0,0,0,1,0
55,"Context: Design pattern detection is a very important research on software reuse, which can greatly help software maintenance and reconstruction.",1,0,0,0,0,0
56,"At present, many researchers have invested in this work and proposed a variety of methods for detection.",1,0,0,0,0,0
