Index,Classifier,Word Vectors,Category,Accuracy,Precision,Recall,F1,"F0,5",F2,Train Time, Test Time
0,SVM,TF-IDF,background_motivation,0.8622076171216719,0.7649941158787119,0.8965741935483871,0.8252351406760152,0.7879373899686781,0.8665074029455322,9.832222938537598,1.1355555057525637
1,SVM,TF-IDF,aim_contribution_research_object,0.779520559487698,0.5486925235771062,0.744493450948944,0.629305501020581,0.5779810261683754,0.6926914648011706,5.8740785121917725,1.2242143154144287
2,SVM,TF-IDF,research_method,0.8160768452982812,0.4570511912710497,0.7896632996632997,0.5769110695662526,0.4982163626875289,0.6871711066810062,2.050256967544556,0.5834507942199707
3,SVM,TF-IDF,results_findings_summary,0.7983998988877655,0.606567286737097,0.7766181410974244,0.6771236444568853,0.6322933878860962,0.7320818763385623,5.453352928161621,0.9260299205780028
4,RandomForest,TF-IDF,background_motivation,0.8639357937310415,0.7595628184998127,0.917367741935484,0.8305048732441488,0.7863331982815861,0.880365032704697,63.88634443283081,1.0176544189453125
5,RandomForest,TF-IDF,aim_contribution_research_object,0.7992290192113247,0.5841194965183323,0.7456161454156642,0.6513211507268307,0.6086909095902038,0.7033911215860073,55.15785813331604,0.9888110160827636
6,RandomForest,TF-IDF,research_method,0.8224317492416582,0.4685170780675006,0.7841414141414143,0.5851036755560686,0.5089117168603072,0.6895325770186886,32.84951829910278,0.9175412654876708
7,RandomForest,TF-IDF,results_findings_summary,0.8352173913043478,0.6752645868789807,0.7671332586786114,0.7150823371963833,0.6900427036842202,0.7444570053404388,54.48311901092529,1.055295467376709
8,LSTM,TF-IDF,background_motivation,0.8357487922705314,0.8148148148148148,0.731457800511509,0.77088948787062,0.7966573816155987,0.7467362924281984,0 days 00:03:19.283791,0 days 00:00:00.394265
9,LSTM,TF-IDF,aim_contribution_research_object,0.8038647342995169,0.5811688311688312,0.7075098814229249,0.6381461675579322,0.6026936026936028,0.6780303030303032,0 days 00:03:19.283791,0 days 00:00:00.394265
10,LSTM,TF-IDF,research_method,0.8666666666666667,0.5887096774193549,0.45625,0.5140845070422536,0.5564024390243902,0.4777486910994764,0 days 00:03:19.283791,0 days 00:00:00.394265
11,LSTM,TF-IDF,results_findings_summary,0.8193236714975846,0.6940639269406392,0.5588235294117647,0.6191446028513239,0.662020905923345,0.5814843152257078,0 days 00:03:19.283791,0 days 00:00:00.394265
